USNYC,NJ,HEISLERVILLE,,,,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,779,,,,779, $929.00 , $904.00 , $879.00 ,EWR,216
USNYC,ME,ORONO,,,,,,,1972,,,,,,,,2188,,,,,,,,,,2286,,,,,,,,,,,,,,2188," $2,338.00 "," $2,313.00 "," $2,288.00 ",EWR,216
USNYC,NJ,PORT NORRIS,,,,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,779,,,,779, $929.00 , $904.00 , $879.00 ,EWR,216
USNYC,CT,QUINEBAUG,,,,,,,,,,,,,,,,,,,,,,,,,973,,,,,,,,,,1189,,,,1189," $1,339.00 "," $1,314.00 "," $1,289.00 ",EWR,216
USNYC,ME,ROCKLAND,,,,,,,1720,,,,,,,,1936,,,,,,,,,,2030,,,,,,,,,,,,,,1936," $2,086.00 "," $2,061.00 "," $2,036.00 ",EWR,216
USORF,VA,DUGSPUR,,,,,,,,,,,,,,,,,,,,,,,,,1385,,,,,,,,,,1169,,,,1385," $1,535.00 "," $1,510.00 "," $1,485.00 ",EWR,216
USSAV,NC,DELCO,,,,,,,,,,,,,,,,,,,,,,,,,883,,,,,,,,,,1099,,,,1099," $1,249.00 "," $1,199.00 "," $1,174.00 ",ATL,216
USCHI,IL,CENTREVILLE,,,,,,1320,1200,,,,,,,,1330,,,,,,,,,,985,,,,,,,,,,,,,,1200," $1,350.00 "," $1,300.00 "," $1,250.00 ",ORD,215
USCHI,MN,DULUTH,,,,,,2170,2100,,,,,,,,2180,,,,,,,,,,1885,,,,,,,,,,,,,,2100," $2,250.00 "," $2,200.00 "," $2,150.00 ",ORD,215
USCHI,IA,DYERSVILLE,,,,,,1192,1050,,,,,,,,1202,,,,,,,,,,835,,,,,,,,,,,,,,1050," $1,200.00 "," $1,150.00 "," $1,100.00 ",ORD,215
USCHI,IA,NEW VIENNA,,,,,,1204,1050,,,,,,,,1214,,,,,,,,,,835,,,,,,,,,,,,,,1050," $1,200.00 "," $1,150.00 "," $1,100.00 ",ORD,215
USCLE,WI,MANITOWOC,,,,,,,2200,,,,,,,,,,,,,,,,,,3007,,,,2415,,,,,,,,,,2415," $2,565.00 "," $2,515.00 "," $2,465.00 ",ORD,215
USCVG,KY,VINE GROVE,,,,,,,800,,,,,,,,832,,,,,,,,,,585,,,,,,,,,,,,,,800, $950.00 , $900.00 , $850.00 ,ORD,215
USLUI,KY,ARY,,,,,,1030,1075,,,,,,,,815,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,215
USLUI,IN,BOSTON,,,,,,930,965,,,,,,,,715,,,,,,,,,,,,,,,,,,,,,,,,930," $1,080.00 "," $1,030.00 ", $980.00 ,ORD,215
USLUI,IN,DENVER,,,,,,1090,1115,,,,,,,,875,,,,,,,,,,,,,,,,,,,,,,,,1090," $1,240.00 "," $1,190.00 "," $1,140.00 ",ORD,215
USLUI,KY,MINERVA,,,,,,880,915,,,,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,880," $1,030.00 ", $980.00 , $930.00 ,ORD,215
USLUI,KY,ROUSSEAU,,,,,,980,1025,,,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,980," $1,130.00 "," $1,080.00 "," $1,030.00 ",ORD,215
USLUI,KY,WOODBINE,,,,,,970,1015,,,,,,,,755,,,,,,,,,,,,,,,,,,,,,,,,970," $1,120.00 "," $1,070.00 "," $1,020.00 ",ORD,215
USMEM,TX,GRAND PRAIRIE,,,,,,,1715,,,,,,,,,,,,,,,,,,2347,,,,1930,,,,,,,,,,1930," $2,105.00 "," $2,055.00 "," $2,030.00 ",HOU,215
USMEM,TX,IRVING,,,,,,,1715,,,,,,,,,,,,,,,,,,2343,,,,1930,,,,,,,,,,1930," $2,105.00 "," $2,055.00 "," $2,030.00 ",HOU,215
USMEM,TX,MCKINNEY,,,,,,,1615,,,,,,,,,,,,,,,,,,2235,,,,1830,,,,,,,,,,1830," $2,005.00 "," $1,955.00 "," $1,930.00 ",HOU,215
USMKC,MO,SAINT JOSEPH,,,,,,610,615,,,,,,,,,,,,,,,,,,580,,,,365,,,,,,,,,,580, $730.00 , $680.00 , $630.00 ,ORD,215
USNYC,CT,AMSTON,,,,,,,,,,,,,,,,,,,,,,,,,824,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,215
USNYC,DE,DELAWARE CITY,,,,,,,1004,,,,,,,,1014,,,,,,,,,,,,,,,,,,,,789,,,,1004," $1,154.00 "," $1,129.00 "," $1,104.00 ",EWR,215
USNYC,NH,ENFIELD CENTER,,,,,,,,,,,,,,,,,,,,,,,,,1314,,,,,,,,,,1529,,,,1529," $1,679.00 "," $1,654.00 "," $1,629.00 ",EWR,215
USNYC,VA,ETLAN,,,,,,,,,,,,,,,,,,,,,,,,,1854,,,,,,,,,,1639,,,,1854," $2,004.00 "," $1,979.00 "," $1,954.00 ",EWR,215
USNYC,VA,FORT BELVOIR,,,,,,,,,,,,,,,,,,,,,,,,,1494,,,,,,,,,,1279,,,,1494," $1,644.00 "," $1,619.00 "," $1,594.00 ",EWR,215
USNYC,VA,HAYWOOD,,,,,,,,,,,,,,,,,,,,,,,,,1854,,,,,,,,,,1639,,,,1854," $2,004.00 "," $1,979.00 "," $1,954.00 ",EWR,215
USNYC,CT,HEBRON,,,,,,,,,,,,,,,,,,,,,,,,,824,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,215
USNYC,DE,HOCKESSIN,,,,,,,1004,,,,,,,,1014,,,,,,,,,,,,,,,,,,,,789,,,,1004," $1,154.00 "," $1,129.00 "," $1,104.00 ",EWR,215
USNYC,VA,LIGNUM,,,,,,,,,,,,,,,,,,,,,,,,,1824,,,,,,,,,,1609,,,,1824," $1,974.00 "," $1,949.00 "," $1,924.00 ",EWR,215
USNYC,CT,MONTVILLE,,,,,,,,,,,,,,,,,,,,,,,,,824,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,215
USNYC,CT,QUAKER HILL,,,,,,,,,,,,,,,,,,,,,,,,,824,,,,,,,,,,1039,,,,1039," $1,189.00 "," $1,164.00 "," $1,139.00 ",EWR,215
USOAK,CA,DELANO,,,,,,1287,1200,,,,,,,,,,,,,,,,,,1372,,,1250,,,985,,,,,,,,1200," $1,325.00 "," $1,300.00 "," $1,275.00 ",LAX,215
USOAK,CA,DURHAM,,,,,,905,875,,,,,,,,835,,,,,,,,,,,,,900,,,620,,,,,,,,835, $960.00 , $935.00 , $910.00 ,LAX,215
USOAK,CA,VALLEY SPRINGS,,,,,,720,710,,,,,,,,,,,,,,,,,,785,,,700,,,485,,,,,,,,700, $825.00 , $800.00 , $775.00 ,LAX,215
USPEF,FL,GREEN COVE SPRINGS,,,,,,1685,1400,,,,,,,,,,,,,,,,,,1185,,,,,,,,,,,,,,1400," $1,525.00 "," $1,500.00 "," $1,450.00 ",MIA,215
USPEF,FL,HAWTHORNE,,,,,,1685,1400,,,,,,,,,,,,1550,,,,,,1185,,,,,,,,,,,,,,1400," $1,525.00 "," $1,500.00 "," $1,450.00 ",MIA,215
USPEF,FL,LUTZ,,,,,,1475,1250,,,,,,,,,,,,1370,,,,,,1035,,,,,,,,,,,,,,1250," $1,375.00 "," $1,350.00 "," $1,300.00 ",MIA,215
USPEF,FL,TARPON SPRINGS,,,,,,1475,1250,,,,,,,,,,,,1390,,,,,,1035,,,,,,,,,,,,,,1250," $1,375.00 "," $1,350.00 "," $1,300.00 ",MIA,215
USPHL,NY,STRATFORD,,,,,,,,,,,,,,,,,,,,,,,,,1644,,,,,,,,,,1429,,,,1644," $1,794.00 "," $1,769.00 "," $1,744.00 ",EWR,215
USSAV,SC,BETHUNE,,,,,,,,,,,,,,,,,,,,,,,,,634,,,,,,,,,,849,,,,849, $999.00 , $949.00 , $924.00 ,ATL,215
USSAV,NC,NAKINA,,,,,,,,,,,,,,,,,,,,,,,,,844,,,,,,,,,,1059,,,,1059," $1,209.00 "," $1,159.00 "," $1,134.00 ",ATL,215
USSAV,NC,RIEGELWOOD,,,,,,,,,,,,,,,,,,,,,,,,,894,,,,,,,,,,1109,,,,1109," $1,259.00 "," $1,209.00 "," $1,184.00 ",ATL,215
USSLC,UT,MOAB,,,,,,,1075,,,,,1125,1150,860,,,,,,,,,,,1345,,,,,,,,,,,,,,1075," $1,200.00 "," $1,175.00 "," $1,150.00 ",LAX,215
USBAL,PA,APOLLO,,,,,,,,,,,,,,,,,,,,,,,,,1005,,,,,,,,,,1219,,,,1219," $1,369.00 "," $1,344.00 "," $1,319.00 ",EWR,214
USBAL,NY,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,,1303,,,,,,,,,,1089,,,,1303," $1,453.00 "," $1,428.00 "," $1,403.00 ",EWR,214
USBAL,WV,DRYFORK,,,,,,,,,,,,,,,,,,,,,,,,,1323,,,,,,,,,,1109,,,,1323," $1,473.00 "," $1,448.00 "," $1,423.00 ",EWR,214
USBAL,PA,GAINES,,,,,,,,,,,,,,,,,,,,,,,,,1005,,,,,,,,,,1219,,,,1219," $1,369.00 "," $1,344.00 "," $1,319.00 ",EWR,214
USBAL,PA,GLASSPORT,,,,,,,,,,,,,,,,,,,,,,,,,1005,,,,,,,,,,1219,,,,1219," $1,369.00 "," $1,344.00 "," $1,319.00 ",EWR,214
USBAL,PA,SMICKSBURG,,,,,,,,,,,,,,,,,,,,,,,,,1005,,,,,,,,,,1219,,,,1219," $1,369.00 "," $1,344.00 "," $1,319.00 ",EWR,214
USBAL,PA,SOUTH PARK,,,,,,,,,,,,,,,,,,,,,,,,,1005,,,,,,,,,,1219,,,,1219," $1,369.00 "," $1,344.00 "," $1,319.00 ",EWR,214
USLUI,IN,REELSVILLE,,,,,,970,1015,,,,,,,,756,,,,,,,,,,,,,,,,,,,,,,,,970," $1,120.00 "," $1,070.00 "," $1,020.00 ",ORD,214
USMIA,FL,JUPITER,,,,,,570,600,,,,,,,,,,,,870,,,,,580,580,,,,356,,,,,,,,,,570, $695.00 , $670.00 , $620.00 ,MIA,214
USMKC,MO,AMSTERDAM,,,,,,645,650,,,,,,,,406,,,,,,,,,,620,,,,,,,,,,,,,,620, $770.00 , $720.00 , $670.00 ,ORD,214
USMKC,IA,DES MOINES,,,,,,983,1000,,,,,,,,993,,,,,,,,,,769,,,,1100,,,,,,,,,,983," $1,133.00 "," $1,083.00 "," $1,033.00 ",ORD,214
USMKC,KS,ELLIS,,,,,,1345,1375,,,,,,,,1131,,,,,,,,,,1402,,,,,,,,,,,,,,1345," $1,495.00 "," $1,445.00 "," $1,395.00 ",ORD,214
USNYC,NY,ANGOLA,,,,,,,1670,,,,,,,,2004,,,,,,,,,,1884,,,,,,,,,,,,,,1884," $2,034.00 "," $2,009.00 "," $1,984.00 ",EWR,214
USNYC,VT,BRIDGEWATER,,,,,,,,,,,,,,,,,,,,,,,,,1335,,,,,,,,,,1549,,,,1549," $1,699.00 "," $1,674.00 "," $1,649.00 ",EWR,214
USNYC,NJ,DENNISVILLE,,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,769,,,,769, $919.00 , $894.00 , $869.00 ,EWR,214
USNYC,NY,KATTSKILL BAY,,,,,,,,,,,,,,,,,,,,,,,,,995,,,,,,,,,,1209,,,,1209," $1,359.00 "," $1,334.00 "," $1,309.00 ",EWR,214
USNYC,NJ,NEWPORT,,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,,,,769,,,,769, $919.00 , $894.00 , $869.00 ,EWR,214
USNYC,VA,PARKSLEY,,,,,,,1237,,,,,,,,1451,,,,,,,,,,,,,,,,,,,,1629,,,,1451," $1,601.00 "," $1,576.00 "," $1,551.00 ",EWR,214
USPHL,NY,EASTPORT,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,919,,,,1133," $1,283.00 "," $1,258.00 "," $1,233.00 ",EWR,214
USPHL,NY,STANLEY,,,,,,,,,,,,,,,,,,,,,,,,,1623,,,,,,,,,,1409,,,,1623," $1,773.00 "," $1,748.00 "," $1,723.00 ",EWR,214
USPHL,NY,WADING RIVER,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,919,,,,1133," $1,283.00 "," $1,258.00 "," $1,233.00 ",EWR,214
USSAV,NC,ATKINSON,,,,,,,,,,,,,,,,,,,,,,,,,925,,,,,,,,,,1139,,,,1139," $1,289.00 "," $1,239.00 "," $1,214.00 ",ATL,214
USSAV,NC,HALLSBORO,,,,,,,,,,,,,,,,,,,,,,,,,815,,,,,,,,,,1029,,,,1029," $1,179.00 "," $1,129.00 "," $1,104.00 ",ATL,214
USBAL,WV,MASONTOWN,,,,,,,,,,,,,,,,,,,,,,,,,1342,,,,,,,,,,1129,,,,1342," $1,492.00 "," $1,467.00 "," $1,442.00 ",EWR,213
USBAL,VA,RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,909,,,,909," $1,059.00 "," $1,034.00 "," $1,009.00 ",EWR,213
USBAL,WV,SUGAR GROVE,,,,,,,,,,,,,,,,,,,,,,,,,1342,,,,,,,,,,1129,,,,1342," $1,492.00 "," $1,467.00 "," $1,442.00 ",EWR,213
USBAL,MD,WESTERNPORT,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,909,,,,909," $1,059.00 "," $1,034.00 "," $1,009.00 ",EWR,213
USCHI,IN,CAMBY,,,,,,878,900,,,,,,,,888,,,,,,,,,,665,,,,,,,,,,,,926,,878," $1,028.00 ", $978.00 , $928.00 ,ORD,213
USCHI,IA,CLARENCE,,,,,,878,900,,,,,,,,888,,,,,,,,,,665,,,,,,,,,,,,,,878," $1,028.00 ", $978.00 , $928.00 ,ORD,213
USLAX,CA,MERCED,,,,,,1570,1450,,,,,,,,1580,,,,,,,,,,1433,,,1550,,,1220,,,,,,,,1433," $1,558.00 "," $1,533.00 "," $1,508.00 ",LAX,213
USLAX,AZ,YUCCA,,,,,,,1280,,,,,,,,,,,,,,,,,,1493,,,,,,,,,,,,,,1493," $1,618.00 "," $1,593.00 "," $1,568.00 ",LAX,213
USLUI,KY,DRAKESBORO,,,,,,805,865,,,,,,,,592,,,,,,,,,,,,,,,,,,,,,,,,805, $955.00 , $905.00 , $855.00 ,ORD,213
USLUI,KY,ROCKHOLDS,,,,,,980,1025,,,,,,,,767,,,,,,,,,,,,,,,,,,,,,,,,980," $1,130.00 "," $1,080.00 "," $1,030.00 ",ORD,213
USLUI,KY,ROYALTON,,,,,,980,1025,,,,,,,,767,,,,,,,,,,,,,,,,,,,,,,,,980," $1,130.00 "," $1,080.00 "," $1,030.00 ",ORD,213
USLUI,KY,WITTENSVILLE,,,,,,1030,1075,,,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,213
USNYC,NY,BAKERS MILLS,,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,,,,,,,1269,,,,1269," $1,419.00 "," $1,394.00 "," $1,369.00 ",EWR,213
USNYC,NY,LOWVILLE,,,,,,,1357,,,,,,,,1606,,,,,,,,,,1570,,,,,,,,,,,,,,1570," $1,720.00 "," $1,695.00 "," $1,670.00 ",EWR,213
USNYC,CT,MIDDLETOWN,,,,,1225,,1005,,,,,,,,,,,,,,,,,,913,,700,,,,,,,,949,,,,913," $1,063.00 "," $1,038.00 "," $1,013.00 ",EWR,213
USNYC,NY,RIPARIUS,,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,,,,,,,1269,,,,1269," $1,419.00 "," $1,394.00 "," $1,369.00 ",EWR,213
USNYC,ME,SEARSPORT,,,,,,,1854,,,,,,,,2067,,,,,,,,,,2160,,,,,,,,,,,,,,2067," $2,217.00 "," $2,192.00 "," $2,167.00 ",EWR,213
USNYC,NY,SILVER BAY,,,,,,,,,,,,,,,,,,,,,,,,,1056,,,,,,,,,,1269,,,,1269," $1,419.00 "," $1,394.00 "," $1,369.00 ",EWR,213
USNYC,MA,SOUTH EGREMONT,,,,,,,,,,,,,,,,,,,,,,,,,716,,,,,,,,,,929,,,,929," $1,079.00 "," $1,054.00 "," $1,029.00 ",EWR,213
USORF,VA,HILLSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1352,,,,,,,,,,1139,,,,1352," $1,502.00 "," $1,477.00 "," $1,452.00 ",EWR,213
USPDX,OR,PHOENIX,,,,,,,1600,,,,,,,,1387,,,,,,,,,,,,,,,,,,,,,,,,1600," $1,725.00 "," $1,695.00 "," $1,650.00 ",SEA,213
USPHL,NY,CORAM,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,NY,EAST SETAUKET,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,NY,MOUNT SINAI,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,NY,PORT JEFFERSON,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,NY,PORT JEFFERSON STATION,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,NY,SAYVILLE,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,NY,SELDEN,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USPHL,VA,VIEWTOWN,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,,,999,,,,1212," $1,362.00 "," $1,337.00 "," $1,312.00 ",EWR,213
USPHL,NY,YAPHANK,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,,869,,,,1082," $1,232.00 "," $1,207.00 "," $1,182.00 ",EWR,213
USSAV,SC,CHERAW,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,909,,,,909," $1,059.00 "," $1,009.00 ", $984.00 ,ATL,213
USSAV,SC,EDGEMOOR,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,909,,,,909," $1,059.00 "," $1,009.00 ", $984.00 ,ATL,213
USSAV,FL,HIGH SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,909,,,,909," $1,034.00 "," $1,009.00 ", $959.00 ,MIA,213
USSAV,SC,PAGELAND,,,,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,909,,,,909," $1,059.00 "," $1,009.00 ", $984.00 ,ATL,213
USSAV,SC,SALUDA,,,,,,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,759,,,,759, $909.00 , $859.00 , $834.00 ,ATL,213
USSLC,UT,KANAB,,,,,,,1325,,,,,1313,1100,,,,,,,,,,,,1815,,,,,,,,,,,,,,1313," $1,438.00 "," $1,413.00 "," $1,388.00 ",LAX,213
USBAL,PA,BLAIRSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,927,,,,,,,,,,1139,,,,1139," $1,289.00 "," $1,264.00 "," $1,239.00 ",EWR,212
USBAL,VA,COLONIAL HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBAL,VA,HOPEWELL,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBAL,PA,JOSEPHINE,,,,,,,,,,,,,,,,,,,,,,,,,927,,,,,,,,,,1139,,,,1139," $1,289.00 "," $1,264.00 "," $1,239.00 ",EWR,212
USBAL,VA,MC GAHEYSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBAL,VA,MOSELEY,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBAL,VA,MOUNT CRAWFORD,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBAL,VA,NEW KENT,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBAL,VA,WAYNESBORO,,,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,959,,,,959," $1,109.00 "," $1,084.00 "," $1,059.00 ",EWR,212
USBOS,PA,PEN ARGYL,,,,,,,,,,,,,,,,,,,,,,,,,1561,,,,,,,,,,1349,,,,1561," $1,711.00 "," $1,686.00 "," $1,661.00 ",EWR,212
USCHI,NE,BLAIR,,,,,,2100,2100,,,,,,,,2110,,,,,,,,,,1888,,,,,,,,,,,,,,2100," $2,250.00 "," $2,200.00 "," $2,150.00 ",ORD,212
USCHI,MN,MILACA,,,,,,2178,2100,,,,,,,,2188,,,,,,,,,,1888,,,,,,,,,,,,,,2100," $2,250.00 "," $2,200.00 "," $2,150.00 ",ORD,212
USHOU,TX,FISCHER,,,,,,,,,,,,,,,,,,,,,,,,,737,,,,,,,,,,949,,,,949," $1,124.00 "," $1,074.00 "," $1,049.00 ",HOU,212
USHOU,LA,HINESTON,,,,,,,,,,,,,,,,,,,,,,,,,737,,,,,,,,,,949,,,,949," $1,074.00 "," $1,049.00 ", $999.00 ,MIA,212
USJAX,SC,BLACKVILLE,,,,,,,,,,,,,,,,,,,,,,,,,737,,,,,,,,,,949,,,,949," $1,099.00 "," $1,049.00 "," $1,024.00 ",ATL,212
USJAX,GA,GIRARD,,,,,,,,,,,,,,,,,,,,,,,,,737,,,,,,,,,,949,,,,949," $1,099.00 "," $1,049.00 "," $1,024.00 ",ATL,212
USJAX,GA,SMITHVILLE,,,,,,,,,,,,,,,,,,,,,,,,,737,,,,,,,,,,949,,,,949," $1,099.00 "," $1,049.00 "," $1,024.00 ",ATL,212
USLUI,KY,BULAN,,,,,,1030,1075,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,212
USLUI,KY,DAVID,,,,,,1030,1075,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,212
USLUI,KY,FALCON,,,,,,980,1025,,,,,,,,768,,,,,,,,,,,,,,,,,,,,,,,,980," $1,130.00 "," $1,080.00 "," $1,030.00 ",ORD,212
USLUI,KY,GUNLOCK,,,,,,1030,1075,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,212
USLUI,KY,MAZIE,,,,,,980,1025,,,,,,,,768,,,,,,,,,,,,,,,,,,,,,,,,980," $1,130.00 "," $1,080.00 "," $1,030.00 ",ORD,212
USLUI,KY,PRESTONSBURG,,,,,,1030,1075,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,1030," $1,180.00 "," $1,130.00 "," $1,080.00 ",ORD,212
